id|text|source|page
0|"李产业发展现状
一、中国李产业现状
(一)栽培历史
我国李栽培历史久远，原始居民就有采食野生李果的习惯，先民
的长期定居生活是造成李、杏等果树出现人控种群的基础，认识到果
树的价值，开始有意识地种植。
李是中国栽培历史最久的果树之一，《诗经》中就有不少关于李
的诗句，如“投我以桃，报之以李”“丘中有李，彼留之子”和“投
我以木李，报之以琼玖。匪报也，永以为好也”等。《山海经》中记
载有灵山“其木多桃、李、梅、杏”。《尔雅》中记载有“椄虑李”
“无实李”和“赤李”3个品种。《广志》记载，汉代修上林苑，收
集李品种15个。古籍中记载的李品种众多，如《洛阳花木记》中记载
的李品种有御皇李、麝香李、胡天李、黄干李、麦熟李、珍珠李、真
桃李、粉香李、小桃李、偏缝李、密缘李、栋枝李、牛心李、紫灰
李、冬李、晚李、焦红李等，其中如牛心李、御皇李等品种名，至今
仍在沿用。在近代的考古发掘中，曾发掘出新石器和战国时代的李核
遗存，证明远在5000多年前，人们就有采食李果实的习惯。《两京
记》记载，唐朝东都洛阳的嘉庆坊出产一种品质优良的李，称之为
“嘉庆子”，逐渐成为李的别名，后来李干的生产增多，“嘉庆子”
这个名称被用来专指李干。
《齐民要术》记载“李性坚，实晚，五岁始子，是以藉栽”。据
·1·"|./李高效生产及绿色防控技术.pdf|0
1|"李高效生产及绿色防控技术
考证，“藉栽”指自根繁殖，即包括扦插、压条、分株等无性繁殖方
法。《洛阳花木记》中最早记载有李的嫁接繁殖，应用在李上的砧木
有桃、李、杏、梅，不同的砧木其成活率、寿命、果实风味不同，该
书还提出李的栽培距离，且“树大连阴，则子细而味不佳”“太密则
子小而不脆”。1857年清代的王逢辰撰写的《槜李谱》，是我国历
史上关于李的专著，书中分别从字义、栽种、分植、远移、接换、枯
蛀、花实、采摘、收贮、真伪、形体、价值、爪痕等28个方面加以
论述，如关于大小年结果的“花时晴雨调匀，则结子必繁，可望大
年；久晴过燥，久雨过湿，则子必稀少，即为小年；所最忌者雾，四
五月中若遇连朝重雾，子必尽落”。关于采摘的“逐日清晨视其树
上，青颗变为黄晕，若兰花色，且须透出朱砂红斑点，方可采摘。过
青太生，过红太熟”。
(二)栽培区域分布
李是我国分布最为广泛的果树之一，几乎各省份均有野生或栽
培。据调查，除青藏高原高海拔地区外，南至广东，北至黑龙江，从
东南沿海到新疆，都有栽培或野生的李资源，垂直分布最高可达海拔
4000米。中国李历经3000多年的栽培与驯化，自然形成一南一北两
大产区，南方产区为李生产和加工的传统产区，北方为我国鲜食李产
区。
1.南方产区南方产区是我国最大的李生产与加工出口区，包括
长江、秦岭、淮河以南区域。
(1)区域分布。本区包括江苏、安徽、浙江、福建、台湾、湖
北、湖南、江西、广东、广西、四川、重庆、贵州、云南等，是我国
亚热带和热带果树的生长区域。
(2)生态条件。本区主要属于亚热带至热带湿润季风气候，云
南、贵州、四川有部分温带、亚热带高原气候，主要分布在我国东部
秦岭淮河以南、热带季风气候型以北、青藏高原以东的地带。夏季炎
热，最热月平均气温大于22℃，气温的季节变化显著，四季分明。
年降水量一般在1000~1500毫米。同温带季风气候相比，季节变化基
本相似，只是冬季气温相对较高，年降水量增多。
·2·"|./李高效生产及绿色防控技术.pdf|1
2|"第一章李产业发展现状
年积温在4500~8000℃,最冷月平均气温0~15℃,是热带与温带的过
渡地带。本区受夏季风影响大，雨季长。每年5月夏季风从华南沿
海登陆，雨季开始。6、7月夏季风势力增强北抬，形成江淮准静止
锋，阴雨连绵，主要影响长江中下游地区和淮河流域。7、8月易形
成伏旱。9月降雨锋面南移至该区域，10月以后冷空气势力进一步
增强，夏季风移出该区域，雨季结束。此外，西南地区常受西南季
风影响，北方地区的冷空气及西南气流受地形阻挡而形成，常出现
连绵阴雨天气。
(3)资源品种。本区有中国李(包括变种㮈李)、欧洲李、美洲李
和樱桃李(红叶李变种)。中国李为主栽品种，其中华东、华中、华
南栽培品种多样。李资源耐高温，不耐寒冷。李果实较大，红肉类
型较多，比较有代表性的有福建的芙蓉李、㮈李，浙江的槜李，广
东的三华李、南华李，四川的江安李、青脆李、脆红李。
(4)主要产地。南方产区是全国李的最大产区，传统产地有江
苏、福建、浙江、江西、湖南、广东等地，具体有江苏徐州、浙江
东阳、福建永泰、广东信宜等。近年来李在西南地区发展迅速，如
贵州、重庆、四川，栽培面积增长快，其中贵州已成为国内李栽培
面积第一大省，产地有贵州遵义、铜仁，重庆巫山，四川宜宾，云
南昆明等。
2.北方产区北方产区的李主要以鲜食为主，包括东北、华北
及西北地区。
(1)区域分布。本区包括黑龙江、辽宁、吉林、河北、河南、
山东、山西、陕西、甘肃、青海、宁夏和新疆等地，是我国冷凉带
到温带落叶果树栽培区。
(2)生态条件。本区主要是温带大陆性气候和温带季风气候。
冬季气温低于0℃，夏季气温高于20℃，四季气温变化分明。最冷
月出现在1月，最热月在7月。全年降水量少，而且季节分配不
均，降水集中在夏季。北方地区年降水量多在400~800毫米，降水
集中在7、8月，这两个月是北方地区的汛期。每年的春季少雨，常
有干旱，春旱严重。
·3·"|./李高效生产及绿色防控技术.pdf|2
3|"李高效生产及绿色防控技术
(3)资源品种。本区主要栽培种为中国李，部分为欧洲李、杏李
和少量的樱桃李、美洲乌苏里李。其中东北地区李资源具有抗寒力强
的特点，华北地区李品种资源丰富、果实较大，除新疆主要以欧洲李
为栽培品种外，西北其他地区均以中国李为主栽品种，李资源抗寒、
抗旱、果实较小。
(4)主要产地。东北为李的传统主产区，其中的辽宁锦西、盖州
等地栽培时间久、种植集中，辽宁的设施栽培李技术在国内领先。河
北易县、昌黎，山东莱阳，河南济源等地栽培欧洲李较多。新疆是欧
洲李的原产地，近年来引进欧洲李品种试栽、筛选，主要集中在新疆
轮台、和硕、塔城、伽师、阿克苏等地。
(三)主要栽培品种
作为原产我国的传统果树，李的品种资源十分丰富，现在生产
上应用的栽培品种，既有地方特色品种，也有国外引进品种及选育
品种。世界李属植物有19~40个种，我国现有9个，整理载入《中
国果树志·李卷》的品种资源有719份。
20世纪70年代以前，我国李多为农户房前屋后零星栽培，品种
大多为地方传统品种或自然实生系，同名异物、同物异名现象普遍，
没有开展专业的李品种资源研究。改革开放以后，辽宁省果树科学研
究所开始在全国范围进行李杏资源调查和收集，对李品种资源进行系
统鉴定、评价和开发利用，随着市场需求的变化，种植趋于良种化，
品种去劣选优，逐渐出现集中栽培的区域性良种，如福建的芙蓉李、
㮈李，吉林长春的跃进李，辽宁的香蕉李，浙江的槜李、广东的三华
李等。
据不完全统计，截至2019年，我国自主育成、通过品种审定并
正式发表的李品种有76个，东北三省的科研单位育成品种39个，占
总数的52%，是我国李育种的主要单位，其次是新疆、山西、陕西、
广东等省份的科研院所。目前我国育成的李品种包括：
1六号李，它的母本和父本分别来自于窑门李和红干核，由吉林
省农业科学院于1956年杂交成功；"|./李高效生产及绿色防控技术.pdf|3
4|"第一章李产业发展现状
2绥棱红(北方1号)，它的母本和父本分别来自于小黄李和福摩萨，
由黑龙江省农业科学院浆果研究所于1964年杂交成功；
3奎冠，以窑门李为母本，由新疆奎屯农七师果树研究所于1969
年通过实生选种方式培育成功；
4金吉李，是济源黄甘李的芽变品种，由河南省林业科学研究
院于1970年培育成功；
5绥李3号，以寺田李为母本，由黑龙江省农业科学院浆果研
究所于1972年通过实生选种方式培育成功；
6奎丰，以窑门李为母本，由新疆奎屯农七师果树研究院于197
5年通过实生选种方式培育成功；
7奎丽，以窑门李为母本，由新疆奎屯农七师果树研究所于197
6年通过自然实生方式选种并培育成功；
8长李7号，以六号李为母本，由长春市郊区铁北园艺试验站
于1979年通过实生选种方式培育成功；
9长李17，以六号李为母本，同样由长春市郊区铁北园艺试验
站于1979年通过实生选种方式培育成功；
10龙园蜜李，它的母本和父本分别来自于横道河子大红李和福
摩萨，由黑龙江省农业科学院园艺研究所于1980年杂交成功；
11黄甘李1号，以黄甘李为母本，由河南省济源市林业工作站
于1980年通过实生选种方式培育成功；
12矮甜李，它的母本和父本分别来自于六号李和福摩萨，由黑
龙江省农业科学院牡丹江农业科学研究所与1981年杂交成功；
13牡丰李，它的母本和父本分别来自于巴彦大红袍和七月红，
由黑龙江省农业科学院牡丹江农业科学院研究所于1981年杂交成功；
14长李84，它的母本和父本分别来自于六号李和西瓜李，由吉
林省农业科学院果树研究所由1981年杂交成功；
15牡红甜李，它的母本和父本分别来自于巴彦大红袍和七月红，
由黑龙江省农业科学院牡丹江农业科学研究所于1981年杂交成功；
16龙园秋李，其母本和父本分别来自于九三杏梅和福摩萨，由
黑龙江省农业科学院园艺研究所于1982年杂交成功；
17吉胜李，它的母本由血肉李和绥李3号杂交而来，它的父本
来自于晚紫李，由中国农业科学院特产研究所/吉林省舒兰市园艺研
究所于1982年杂交成功；
18秋甜李，其母本和父本分别来自于黄水李和小核李，由黑龙
江省农业科学院牡丹江农业科学研究所于1982年杂交成功；
19龙园早李，其母本和父本分别来自于九三杏梅和福摩萨，由
黑龙江省农业科学院园艺分院于1982年杂交成功；"|./李高效生产及绿色防控技术.pdf|4
5|"20龙园早桃李，其母本和父本分别来自于黄干核李和福摩萨，
由黑龙江省农业科学院园艺分院于1982年杂交成功；
21特早红李，它的母本和父本分别来自于早红袍和绥棱红，长
春市郊区铁北园艺试验站杂交成功；
22吉晚桃李，它的母本来源于由血肉李和绥李3号杂交而成的
李品种，父本来源于晚紫李，由吉林省舒兰市福顺园艺试验场于1982
年杂交成功；
23长李109，它的母本和父本分别来自于六号李和西瓜李，由吉
林省长春市农业科学院于1983年杂交成功；
24新李1号，它的母本和父本分别来自于六号李和西瓜李，由
新疆奎屯市果树研究所于1983年杂交成功；
25长李15，它的母本和父本分别来自于绥棱红和美国李，由吉
林省长春市农业科学院于1983年杂交成功；
26吉红李，它的母本和父本分别来自于1号李和大晚李，由吉
林市丰满区园林果树场由1984年杂交成功；
27晚金玉，它的母本和父本分别来自于六号李和大叶伏李，由
吉林省农业科学院于1984年杂交成功；
28金帅李，是小黄李的芽变品种，由沈阳市东陵区东祥果园于1
987年培育成功；
29关公李，它的母本和父本分别来自于麦黄李和三月甜，由湖
北省当阳市于1988年杂交成功；
30龙园桃李，由龙园蜜李芽变而来，由黑龙江省农业科学院园
艺分院于1988年培育成功；
31红星李，以中国李为母本，由吉林省农业科学院果树研究所
于1988年通过实生选种方式培育成功；
32迟花芙蓉李，以芙蓉李为母本，由福建省永泰县农业局于198
9年通过实生选种方式培育成功；
33秦红李，以幸运李为母本，由西北农林科技大学园艺学院于1
989年通过实生选种方式培育成功；
34吉中大，它的母本和父本分别来自于大紫李和吉红李，由吉
林省农业科学院于1989年杂交成功；
35长春彩叶李，它的母本和父本分别来自于中国李和紫叶李，
由吉林省农业科学院果树研究所于1991年杂交成功；
36北国红，它的母本和父本分别来自于孔雀蛋实生和紫叶李，
由吉林省农业科学院果树研究所于1991年杂交成功；
37吉祥晚李，它的母本和父本分别来自于吉红李和吉林晚李，
由吉林省农业科学院于1991年杂交成功；
38鸡蛋李，其母本是SusinoPrecocedelItalia，由山西省农"|./李高效生产及绿色防控技术.pdf|5
6|"业科学院果树研究所于1992年通过实生选种方式培育成功；
39紫晶李，其母本是意大利李，由山西省农业科学院果树研究
所于1992年通过实生选种方式培育成功；
40巴山脆李，以青脆李为母本，由四川农业大学园艺学院于199
3年通过实生选种方式培育成功；
41金皇后杏李，由杏、李自然杂交而成，由陕西省果树研究所
于1994年审定成功；
42苹果李，它的母本和父本分别来自于广东华南李和江西芙蓉
李，由江西省泰和县苏溪良种示范研究园于1995年杂交成功；
43安农美李，以中国李为母本，由安徽农业大学于1998年通过
实生选种方式培育成功；
44红晶李，是从天目蜜李中选育出的变异单株，由浙江省宁海
县农林局于1996年培育成功；
45一品丹枫，它的母本和父本分别来自于孔雀蛋实生和长春彩
叶李，由中国农业科学院果树研究所、吉林省农业科学院果树研究所
于1996年杂交成功，除鲜食外，还具有观赏价值；
46金山李，以小黄李为母本，由吉林省农业科学院果树研究所
于1996年通过实生选种方式培育成功；
47白脆鸡麻李，以三华李为母本，由华南农业大学园艺学院于1
996年通过实生选种方式培育成功；
48绥李5号，它的母本和父本分别来自于绥李3号和月光李，
黑龙江省农业科学院浆果研究所于1997年杂交成功；
49金满堂，是小黄干核的芽变品种，由吉林省农业科学院于199
7年培育成功；
50龙滩珍珠李，以野生李为母本，由广西大学农学院通过自然
实生方式选种并培育成功；
51三红李子，由中国李芽变而来，由新疆库尔勒垦区土壤肥料
化验中心于1998年培育成功；主要用作观赏价值；
52华蜜大蜜李，以三华李为母本，由华南农业大学园艺学院于1
998年通过实生选种方式培育成功；
53将军红李，由山东省临沂市费县新世纪果树园艺场于1998年
以地方品种实生选种方式培育成功；
54绥江，以半边红李为母本，由云南省昭通市绥江县于1999年
通过实生选种方式培育成功；
55岳寒红叶，它的母本和父本分别来自于变叶李和长李15，由
辽宁省果树研究所于2000年杂交成功，具有观赏价值；
56南阳，以中国李为母本，由河南省南阳市宛城区辛店乡于200
1年通过实生选种方式培育成功；"|./李高效生产及绿色防控技术.pdf|6
7|"57大红李L0630，是红叶李的芽变品种，由江苏省沿江地区农业
科学研究所于2002年培育成功；
58秋香李，是香蕉李的芽变品种，由辽宁省果树研究所于2003
年培育成功；
59歪嘴李，由中国李芽变而来，由重庆市渝北区果经技术推广
站于2003年选育成功；
60松祥桃李，以吉胜李为母本，由吉林省舒兰市园艺研究所于2
003年通过实生选种方式培育成功；
61岭溪李，以竹丝李为母本，由华南农业大学园艺学院于2003
年通过实生选种方式培育成功；
62迟花芙蓉李，由地方品种芽变而来，由福建省永泰县经济作
物站于2003年培育成功；
63森果红露，以野生樱桃李为母本实生选种，由山东农业大学
于2004年培育成功；
64国美，它的母本和父本分别来自于龙园秋李和安哥诺，由辽
宁省果树科学研究所于2004年杂交成功；
65华秀李，是秋姬的芽变品种，由江苏省东海县牛山果树综合
实验场于2007年培育成功；
66味馨，通过引种选育方式，由中国林业科学院于2009年培育
成功；
67晚金玉，通过杂交育种方式，由吉林省农业科学院果树研究
所于2014年培育成功；
68巫山脆李，是江安大白李的芽变品种，由巫山县果品产业发
展中心、西南大学、重庆市农业技术推广总站于2016年培育成功；
69金翠李，其母本是青脆李，由开县果品技术推广站、重庆市
农业技术推广总站、重庆市农业科学院于2016年通过实生选种方式
培育成功；
70吉中大，由吉林省农业科学院果树研究所于2017年通过杂交
育种方式培育成功；
71粉黛脆李，由重庆市万州区果树技术推广站于2018年以万州
青脆李为母本，通过自然实生方式选育而成；
72晚霜脆李，由重庆市万州区果树技术推广站于2018年以万州
青脆李为母本，通过自然实生方式选育而成；
73中李3号，由中国农业科学院郑州果树研究所于2019年通过
实生选育方式培育成功；
74兴华李，其母本是三华李，由华南农业大学园艺学院于2019
年通过实生选种方式培育成功；
75晚黄金，是油㮈的芽变品种，由福建省农业科学院果树研究"|./李高效生产及绿色防控技术.pdf|7
8|"所于2019年培育成功；
76宛青，以巫山脆李为母本，由重庆市农业科学院、巫山县果
品产业发展中心于2019年通过实生选种方式培育成功；
(四)产业发展现状
1.生产现状据联合国粮食及农业组织数据，2019年中国李栽
培面积210.91万公顷，占世界李栽培总面积的77%；产量700.38万
吨，占世界李总产量的56%。中国李的栽培面积和总产量长期居世界
第一位，李已由传统的零星栽培发展为现代商品性生产，为我国重要
的落叶果树之一。
2.研究现状
(1)种质资源研究。自1981年农业部下达建设国家果树种质资
源圃开始，辽宁省果树科学研究所开始组织全国相关科研单位、大专
院校系统进行了全国李种质资源考察、收集、保存、鉴定、评价工
作，并于1986年建立国家果树种质熊岳李杏圃，截至2018年底，该
圃共保存李属资源9个种、734份资源。
中国是中国李的起源中心和分布中心。张加延等在李种质资源考
察中发现云南西双版纳地区有李资源分布。郭忠仁等在南方7省的李
资源考察中，指出贵州省盘县(现盘州)至云南泸水、祥云、中甸一带
有野生中国李分布，黔南山区的李资源均为中国李，品种多、分布
广，类型分豆李与苦李，广东北江上游地区也有野生李分布，经长期
选择，逐渐驯化出耐湿热、需冷量小于600小时的地方品种。
·10·"|./李高效生产及绿色防控技术.pdf|8
9|"第一章李产业发展现状
张静茹等认为在东北高寒地区(北纬44°~53°)有4个李种的分
布或栽培，集中在北纬44°∼48°，品种多为中国李或乌苏里李
地方品种。
通过简单重复序列间扩增(ISSR)分析，表明贵州分布的中国李
多样性极为丰富(I=0.508)。通过表型数据的主成分分析，认为南
方品种群位于分布图中心，是最为原始的类型。通过孢粉学观察，
也认为南方李比北方李原始，中国李的传播是从南向北进行的，且
在传播过程中逐渐形成了进化程度不一的品种。用3种分子标记对
中国李资源多样性分析，表明中国李资源的遗传基础广，并将中国
李品种分为南方品种群和北方品种群两大类。简单重复序列(SSR)
的聚类结果将中国李品种群划分为3个品种群，即东北品种群、北
方品种群以及南方和国外品种群。北方品种群的形成与杏李相关，
东北品种群的形成与乌苏里李有关，国外育成品种与我国南方品种
亲缘关系较近。事实上，国外李栽培品种是我国某地区栽培李经由
日本传到美国后与近缘种美洲李或樱桃李等杂交改良形成的，但并
没有确切记录。
植物育种家布尔班克在现代李育种早期，就利用中国李、杏李
与本地樱李组的美洲李等进行杂交，以提高栽培品种的适应性。后
来，在美国加利福尼亚州李育种中，经过70多年的李和杏人工杂
交育种,选育出Pluot、Plumcot和Aprium等一系列品种,这些品
种果实色泽艳丽、香气浓郁、风味独特，丰富了果树品种，我国21
世纪初引进的恐龙蛋、味帝、风味皇后等是该类型的系列品种。尽
管将这些人工杂交形成的品种也称为“杏李”，但与杏李(Prunus
simoniiCarr.)是两种完全不同的植物。
(2)遗传与育种研究。我国最早的李育成品种为1956年由吉
林省农业科学院从地方品种窑门李(也称东北美丽)和红干核杂交
种子后代中筛选出的单株六号李(也称跃进李)，该品种在随后的长
李系品种选育中发挥了重要作用。随后20世纪60—70年代，处
于高寒地区的黑龙江、吉林等省果树科研单位及大学院校针对寒冷
气候环境开展了寒地李新品种育种研究，相继培育出绥棱红、绥李
·11·"|./李高效生产及绿色防控技术.pdf|9
