李贮运保鲜与加工|属于|食品加工领域|1|0
李果实|含有|酚类物质|1|1
酚类物质|包括|酚酸、黄烷醇、黄酮醇和花青苷|1|2
新绿原酸|属于|酚酸类物质|1|3
绿原酸|属于|酚酸类物质|1|4
儿茶素|属于|黄烷醇类物质|1|5
表儿茶素|属于|黄烷醇类物质|1|6
芦丁|属于|黄酮醇类物质|1|7
矢车菊素-3-葡萄糖苷|属于|花青苷物质|1|8
矢车菊素-3-芸香糖苷|属于|花青苷物质|1|9
芍药素-3-葡萄糖苷|属于|花青苷物质|1|10
芍药素-3-芸香糖苷|属于|花青苷物质|1|11
总酚含量|测定|福林-酚法|1|12
吸光度值|测定|总酚含量|1|13
单体酚|测定|高效液相色谱法|1|14
出汁率|反映|李的制汁特性|1|15
李|属于|核果类水果|1|16
褐变度|测定|美拉德反应|1|17
抗坏血酸降解|属于|非酶促褐变|1|18
酚类化合物的氧化聚合|属于|非酶促褐变|1|19
李高效生产及绿色防控技术|属于|农业技术|10|20,77,116,263,556,631,1410,2114,2473,2686
李|属于|水果类|5|21,532,1077,1309,1450
吸光度值|属于|物理量|1|22
果汁|具有|非牛顿特性|1|23
屈服值|属于|物理量|1|24
塑性流体|属于|流体类型|1|25
牛顿流体|属于|流体类型|1|26
李果汁|黏度|受品种影响|1|27
李果汁|黏度|受成熟度影响|1|28
李果汁|加工适宜性|评价|1|29
李果汁|采收期|评估|1|30
重庆巫山脆李|感官指标|基本要求：果实完整|1|31
重庆巫山脆李|感官指标|基本要求：色泽纯正|1|32
重庆巫山脆李|感官指标|基本要求：新鲜洁净|1|33
重庆巫山脆李|感官指标|基本要求：无病虫刺伤|1|34
重庆巫山脆李|感官指标|基本要求：果面特有的白色粉层明显|1|35
重庆巫山脆李|感官指标|基本要求：平均单果重35克|1|36
重庆巫山脆李|感官指标|基本要求：整齐度好|1|37
重庆巫山脆李|感官指标|色泽：果皮绿色或黄绿色|1|38
重庆巫山脆李|感官指标|风味：肉质脆嫩|1|39
重庆巫山脆李|感官指标|风味：汁多味香|1|40
重庆巫山脆李|感官指标|风味：酸甜适度|1|41
重庆巫山脆李|感官指标|形态：果形端正|1|42
重庆巫山脆李|感官指标|形态：近圆形|1|43
重庆巫山脆李|感官指标|形态：缝合线明显|1|44
重庆巫山脆李|感官指标|形态：离核|1|45
重庆巫山脆李|理化指标|可溶性固形物：≥12|1|46
重庆巫山脆李|理化指标|可滴定酸：<0.9|1|47
重庆巫山脆李|理化指标|可食率：≥96|1|48
重庆巫山脆李|分级指标|特级果：单果重大于45克|1|49
重庆巫山脆李|分级指标|特级果：果形端正|1|50
重庆巫山脆李|分级指标|特级果：酸甜适口|1|51
重庆巫山脆李|分级指标|特级果：脆嫩化渣|1|52
重庆巫山脆李|分级指标|特级果：汁多味香|1|53
重庆巫山脆李|分级指标|特级果：果粉完整|1|54
重庆巫山脆李|分级指标|一级果：单果重在40到45克之间|1|55
重庆巫山脆李|分级指标|一级果：果形端正|1|56
重庆巫山脆李|分级指标|一级果：酸甜适口|1|57
重庆巫山脆李|分级指标|一级果：脆嫩化渣|1|58
重庆巫山脆李|分级指标|一级果：汁多味香|1|59
重庆巫山脆李|分级指标|一级果：果粉完整|1|60
李贮运保鲜与加工|属于|农业加工技术|1|61
李果实|属于|水果类|1|62
