|q|a|d
0|请问中国李产业的历史可以追溯到什么时候？|远在5000多年前|0
1|中国最早关于李的文献记载出现在哪部古籍中？|《诗经》|0
2|《广志》记载汉代上林苑收集了多少个李品种？|15个|0
3|《尔雅》中记录了哪些李品种？|椄虑李、无实李、赤李|0
4|《山海经》中提到的灵山有哪些果树？|桃、李、梅、杏|0
5|《齐民要术》中对于李树的特性有何描述？|李性坚，实晚，五岁始子|0
6|唐朝时期洛阳的嘉庆坊出产的李被称为什么？|嘉庆子|0
7|《洛阳花木记》中记载了哪些李品种？|御皇李、麝香李、胡天李等（需要列举一些）|0
8|南方产区包括哪些省份？|南方产区包括江苏、安徽、浙江、福建、台湾、湖北、湖南、江西、广东、广西、四川、重庆、贵州、云南等省份。|1
9|中国李形成了哪两大产区？|中国李形成了南方和北方两大产区。南方产区为李生产和加工的传统产区，包括长江、秦岭、淮河以南区域，而北方为我国鲜食李产区。|1
10|在《洛阳花木记》中，李的嫁接繁殖最早是如何记载的？|《洛阳花木记》中最早记载了李的嫁接繁殖，提到的砧木有桃、李、杏、梅，不同的砧木对成活率、寿命和果实风味有不同影响。|1
11|“藉栽”在果树栽培中指的是什么？|“藉栽”指的是利用自根繁殖的方法，包括扦插、压条、分株等无性繁殖方式。|1
12|李高效生产及绿色防控技术的核心内容是什么？|李的高效生产和绿色防控技术的核心内容涉及无性繁殖方法、砧木选择、栽培距离、环境因素对果实品质的影响等。|1
13|王逢辰所撰《槜李谱》是我国历史上关于李的哪方面专著？|王逢辰所撰《槜李谱》是我国历史上关于李的专著，内容涵盖了李的字义、栽种、分植、远移、接换、枯蛀、花实、采摘、收贮、真伪、形体、价值、爪痕等28个方面。|1
14|李的栽培距离在《洛阳花木记》中有何建议？|《洛阳花木记》提出了李的栽培距离的建议，指出过于紧密的栽培会导致果实质量下降。|1
15|李在我国的栽培区域分布是怎样的？|李是我国分布广泛的果树之一，几乎各省份均有野生或栽培。除了青藏高原高海拔地区外，南至广东，北至黑龙江，从东南沿海到新疆都有栽培或野生的李资源，垂直分布可达海拔4000米。|1
16|李产业的主要生产地有哪些|江苏、福建、浙江、江西、湖南、广东、贵州、重庆、四川、云南|2
17|请问哪个地区是李的传统主产区？|李的传统主产区是东北地区。|3
18|请问新疆引进欧洲李品种试栽、筛选的主要集中地区有哪些？|新疆轮台、和硕、塔城、伽师、阿克苏等地。|3
19|请问中国李的主要栽培品种有哪些？|中国李的主要栽培品种包括中国李、欧洲李、杏李、樱桃李和美洲乌苏里李。|3
20|请问哪个地区的设施栽培李技术在国内领先？|辽宁锦西、盖州的设施栽培李技术在国内领先。|3
21|请问我国现有多少个李属植物的种？|我国现有9个李属植物的种。|3
22|请问我国整理载入《中国果树志·李卷》的品种资源有多少份？|我国整理载入《中国果树志·李卷》的品种资源有719份。|3
23|牡丰李的父本是什么|七月红|4
24|奎冠的母本是什么|窑门李|4
25|长李84的父本是什么|西瓜李|4
26|黄甘李1号的培育方式是什么|实生选种方式|4
27|矮甜李的父本是什么|福摩萨|4
28|奎丰的母本是什么|窑门李|4
29|奎丽的培育方式是什么|自然实生方式|4
30|长李7号的母本是什么|六号李|4
31|龙园蜜李的父本是什么|横道河子大红李|4
32|秋甜李的父本是什么|小核李|4
33|牡红甜李的父本是什么|七月红|4
34|吉胜李的母本是由哪两个单位于1982年杂交成功的|中国农业科学院特产研究所和吉林省舒兰市园艺研究所|4
35|龙园早李的培育单位是哪个|黑龙江省农业科学院园艺分院|4
36|金吉李是由哪个单位于1970年培育成功的|河南省林业科学研究院|4
37|绥李3号的母本是什么|寺田李|4
38|绥棱红(北方1号)的父本和母本分别是什么|小黄李和福摩萨|4
39|龙园秋李的母本是什么|九三杏梅|4
40|请问“23长李109”的母本是什么？|西瓜李|5
41|请问“21特早红李”的母本是什么？|早红袍|5
42|请问“22吉晚桃李”的父本是什么？|晚紫李|5
43|请问“24新李1号”的父本是什么？|西瓜李|5
44|请问“31红星李”的母本是什么？|中国李|5
45|请问“25长李15”的父本是什么？|美国李|5
46|请问“26吉红李”的父本是什么？|大晚李|5
47|请问“32迟花芙蓉李”的父本是什么？|芙蓉李|5
48|请问“33秦红李”的父本是什么？|幸运李|5
49|请问“30龙园桃李”是由哪个单位于哪一年培育成功的？|黑龙江省农业科学院园艺分院，1988年|5
50|请问“29关公李”的母本是什么？|麦黄李|5
51|请问“28金帅李”是由哪个果园培育成功的？|沈阳市东陵区东祥果园|5
52|请问“27晚金玉”的父本是什么？|大叶伏李|5
53|请问“36北国红”的母本是什么？|孔雀蛋实生|5
54|请问“37吉祥晚李”的母本是什么？|吉红李|5
55|请问“34吉中大”的母本是什么？|大紫李|5
56|请问“38鸡蛋李”的母本是什么？|SusinoPrecocedelItalia|5
57|请问“35长春彩叶李”的父本是什么？|紫叶李|5
58|请问“20龙园早桃李”的父本是什么？|六号李|5
59|请问绥江以什么水果为母本于1999年通过实生选种方式培育成功？|半边红李|6
60|请问岳寒红叶的母本和父本分别是什么水果？|变叶李和长李15|6
61|请问白脆鸡麻李的母本是什么水果？|三华李|6
62|请问南阳以什么水果为母本于2001年通过实生选种方式培育成功？|中国李|6
63|请问业科学院果树研究所于1992年通过实生选种方式培育成功的是什么水果？|紫晶李|6
64|请问哪一年山西省农业科学院果树研究所通过实生选种方式培育成功了紫晶李？|1992年|6
65|请问苹果李的母本和父本分别是什么水果？|广东华南李和江西芙蓉李|6
66|请问三红李子是什么水果的变异品种？|中国李|6
67|请问安农美李是以什么水果为母本培育成功的？|中国李|6
68|请问红晶李是从哪个品种中选育出的变异单株？|天目蜜李|6
69|请问四川农业大学园艺学院于1993年通过实生选种方式培育成功的是什么水果？|巴山脆李|6
70|请问绥李5号的母本和父本分别是什么水果？|绥李3号和月光李|6
71|请问龙滩珍珠李以什么水果为母本培育成功？|野生李|6
72|请问金满堂是什么水果的芽变品种？|小黄干核|6
73|请问什么水果是杏和李的自然杂交品种，由陕西省果树研究所在1994年审定成功？|金皇后杏李|6
74|请问华蜜大蜜李的母本是什么水果？|三华李|6
75|请问金山李的母本是什么水果？|小黄李|6
76|请问一品丹枫的母本和父本分别是什么水果？|孔雀蛋实生和长春彩叶李|6
77|请问将军红李是由哪个单位于1998年实生选种方式培育成功的？|山东省临沂市费县新世纪果树园艺场|6
78|中李3号是什么？|中李3号由中国农业科学院郑州果树研究所于2019年通过实生选育方式培育成功。|7
79|什么是秋香李？|秋香李是香蕉李的芽变品种，由辽宁省果树研究所于2003年培育成功。|7
80|晚黄金是什么？|晚黄金是油㮈的芽变品种，由福建省农业科学院果树研究所培育成功。|7
81|兴华李是如何培育的？|兴华李的母本是三华李，由华南农业大学园艺学院于2019年通过实生选种方式培育成功。|7
82|什么是松祥桃李？|松祥桃李是以吉胜李为母本，由吉林省舒兰市园艺研究所于2003年通过实生选种方式培育成功。|7
83|粉黛脆李是如何培育的？|粉黛脆李由重庆市万州区果树技术推广站于2018年以万州青脆李为母本，通过自然实生方式选育而成。|7
84|吉中大是如何培育的？|吉中大由吉林省农业科学院果树研究所于2017年通过杂交育种方式培育成功。|7
85|晚霜脆李是如何培育的？|晚霜脆李由重庆市万州区果树技术推广站于2018年以万州青脆李为母本，通过自然实生方式选育而成。|7
86|什么是华秀李？|华秀李是秋姬的芽变品种，由江苏省东海县牛山果树综合实验场于2007年培育成功。|7
87|什么是迟花芙蓉李？|迟花芙蓉李是由地方品种芽变而来，由福建省永泰县经济作物站于2003年培育成功。|7
88|什么是岭溪李？|岭溪李是以竹丝李为母本，由华南农业大学园艺学院于2003年通过实生选种方式培育成功。|7
89|什么是歪嘴李？|歪嘴李由中国李芽变而来，由重庆市渝北区果经技术推广站于2003年选育成功。|7
90|什么是57大红李L0630？|57大红李L0630是红叶李的芽变品种，由江苏省沿江地区农业科学研究所于2002年培育成功。|7
91|巫山脆李是什么？|巫山脆李是江安大白李的芽变品种，由巫山县果品产业发展中心、西南大学、重庆市农业技术推广总站于2016年培育成功。|7
92|晚金玉是如何培育的？|晚金玉是通过杂交育种方式，由吉林省农业科学院果树研究所于2014年培育成功。|7
93|金翠李是如何培育的？|金翠李的母本是青脆李，由开县果品技术推广站、重庆市农业技术推广总站、重庆市农业科学院于2016年通过实生选种方式培育成功。|7
94|什么是国美？|国美的母本和父本分别来自于龙园秋李和安哥诺，由辽宁省果树科学研究所于2004年杂交成功。|7
95|什么是森果红露？|森果红露是以野生樱桃李为母本实生选种，由山东农业大学于2004年培育成功。|7
96|味馨是如何培育的？|味馨是通过引种选育方式，由中国林业科学院于2009年培育成功。|7
97|中国李的栽培面积占世界李栽培总面积的比例是多少？|77%|8
98|哪篇文章提到了中国李的起源中心和分布中心？|未提供具体文章标题|8
99|截至2018年底，国家果树种质熊岳李杏圃共保存了多少个李属资源？|9个种、734份资源|8
100|中国李的产量占世界李总产量的比例是多少？|56%|8
101|哪个省份的黔南山区有中国李的广泛分布？|贵州省|8
102|在中国李的分布中，哪个地区的品种多样性最为丰富？|贵州。|9
103|哪些品种是通过美国加利福尼亚州李育种中选育出的？|Pluot、Plumcot和Aprium等。|9
104|通过对李的遗传基础分析，得出了哪些结论？|中国李资源的遗传基础广，中国李品种分为南方品种群和北方品种群两大类。|9
105|李产业发展现状中提到的主要品种有哪些？|跃进李、绥棱红、绥李|9
106|布尔班克在现代李育种早期利用了哪些品种进行杂交？|中国李、杏李与本地樱李组的美洲李等。|9
107|请问我国从20世纪五六十年代开始了哪些以抗寒、丰产、优质为目标的李育种工作？|抗寒、丰产、优质|10
108|请问我国李品种改良的路径是什么？|利用地方优质、适应性广、抗病性强的品种与国外引进的外观美、耐贮运品种杂交，选育优质、耐贮、高抗的李新品种|10
109|请问自2000年开始，我国各地农业科研单位及大学院校培育了哪些优良李新品种？|秋香李、牡丰李、红晶李、巴山脆李、巫山脆李|10
110|请问新疆奎屯农七师果树研究所通过自然实生方式选育出了哪几个优质品种？|奎冠、奎丽和奎丰|10
111|请问黑龙江、吉林两省为主的果树科研单位及大学院校通过人工杂交和实生选种选育出了哪些李新品种？|抗寒、极早熟品种长李15和大果、丰产的龙园秋李|10
112|请问我国选育的李品种中大多数亲本是具有哪些特点的地方优良品种？|我国地域特点、适应性强、鲜食品质佳|10
113|请问我国李地方品种与国外引进品种相比，有哪些优势和劣势？|我国李地方品种鲜食品质佳、适应性强，但外观差、不耐贮运；国外引进品种外观好、耐贮运，但鲜食品质欠佳、适应性较差|10
114|李果实中糖酸比的大小排列是什么？|晚熟品种>中熟品种>早熟品种|11
115|李果实维生素C含量在果实发育过程中的变化规律是什么？|早期最高，之后逐渐降低，成熟时达到最低点|11
116|影响李果实采后食用品质和商品性状的重要因素是什么？|采收成熟度|11
117|什么物质可以有效防止李裂果问题？|乙烯利和赤霉素(GA₃)|11
